Keyword Text,Competition,Competition Index,Search Volume,Low Top Page Bid,High Top Page Bid
cyber and security,MEDIUM,38,550000,7.14,22.26
course courses,LOW,4,90500,1.68,6.08
camp us,LOW,4,90500,1.04,10.00
cyber security courses,MEDIUM,52,49500,9.01,30.89
universities campus,LOW,2,22200,4.89,10.61
certificate programs,MEDIUM,47,18100,2.44,11.38
information technology security,LOW,13,18100,4.28,16.24
tra courses,LOW,18,14800,2.44,9.45
my course,LOW,0,12100,0.04,6.50
schedule course,LOW,0,9900,4.32,9.63
cisco certification,LOW,23,8100,1.79,7.62
password resets,LOW,2,8100,0.48,3.24
search courses,LOW,0,6600,1.32,2.85
account courses,MEDIUM,48,5400,4.69,23.42
educational course,LOW,20,3600,3.16,11.32
certificate i courses,MEDIUM,37,3600,2.35,10.62
degree professional,LOW,3,3600,3.01,11.05
certificate courses,LOW,32,2900,2.30,9.36
teaching course,LOW,23,2900,3.44,12.90
certificate for courses,LOW,32,2900,2.30,9.36
hons course,LOW,3,2900,,
campus security,LOW,3,2400,2.24,15.98
schedule training,LOW,1,2400,2.67,9.38
engineering course,LOW,28,1900,2.42,11.56
level 5 management course,MEDIUM,43,1900,,
networking certificate,MEDIUM,36,1600,2.73,10.23
professional trainings,LOW,21,1600,2.66,9.83
courses in university,LOW,19,1300,1.92,7.00
cyber security certificate programs,MEDIUM,47,1300,9.52,34.75
course uni,LOW,19,1300,1.92,7.00
course syllabus,LOW,0,1300,,
university and courses,LOW,19,1300,1.92,7.00
university on course,LOW,19,1300,1.92,7.00
certificate in network security,LOW,25,1000,4.16,14.44
course s,LOW,1,1000,2.94,8.03
new course,LOW,7,1000,1.81,3.80
professional schooling,LOW,9,1000,2.79,10.17
diploma certificate,HIGH,100,880,0.84,5.42
all campus,LOW,5,880,1.81,2.35
professional certification,LOW,17,880,2.09,9.33
diploma degree,MEDIUM,35,880,3.53,64.64
academic programmes,LOW,4,880,3.19,9.98
course link,LOW,0,880,1.72,5.00
diploma and certificate,HIGH,100,880,0.84,5.42
programmes in university,LOW,16,880,3.56,23.52
certificate for diploma,HIGH,100,880,0.84,5.42
cert diploma,HIGH,100,880,0.84,5.42
course numbers,LOW,0,880,,
link course,LOW,0,880,1.74,8.18
numbers course,LOW,0,880,,
scientific courses,LOW,10,880,1.55,5.80
cyber security university,LOW,32,720,7.61,33.78
cyber security uni,LOW,32,720,7.61,33.78
university of cyber security,LOW,32,720,7.61,33.78
characters password,LOW,0,720,,
cisco certified networking,LOW,21,720,1.98,7.36
